file,best_roi,hr,gt_hr,error_for_roi_forehead,error_for_roi_left_cheek,error_for_roi_right_cheek
20241203_152904.mp4,right_cheek,98.4375,95.0,24.6875,3.59375,3.4375
20241203_111907.mp4,left_cheek,91.40625,52.0,25.34375,39.40625,2.78125
2024-11-28 at 10.06.20.mp4,forehead,84.375,85.0,0.625,0.625,14.6875
2024-11-28 at 10.10.37.mp4,left_cheek,77.34375,95.0,3.4375,17.65625,10.625
2024-11-28 at 10.16.37.mp4,right_cheek,119.53125,68.0,2.3125,30.4375,51.53125
2024-11-28 at 10.32.50.mp4,right_cheek,70.3125,75.0,4.6875,4.6875,4.6875
2024-11-28 at 10.34.52.mp4,left_cheek,70.3125,69.0,1.3125,1.3125,8.34375
2024-11-28 at 11.54.15.mp4,left_cheek,70.3125,90.0,19.6875,19.6875,1.40625
2024-11-28 at 16.13.38.mp4,left_cheek,91.40625,68.0,4.71875,23.40625,2.3125
2024-11-28 at 16.19.35.mp4,right_cheek,84.375,56.0,35.40625,21.34375,28.375
2024-11-28 at 16.20.48.mp4,right_cheek,70.3125,60.0,38.4375,24.375,10.3125
2024-11-28 at 16.26.58.mp4,left_cheek,70.3125,65.0,12.34375,5.3125,5.3125
2024-12-03 at 13.08.04.mp4,right_cheek,70.3125,61.0,9.3125,9.3125,9.3125
2024-12-03 at 14.23.29.mp4,right_cheek,70.3125,67.0,10.34375,10.75,3.3125
2024-12-03 at 15.32.07.mp4,left_cheek,70.3125,96.0,11.625,25.6875,4.59375
IMG_9575.mp4,left_cheek,84.375,66.0,2.71875,18.375,2.71875
IMG_6020.mp4,left_cheek,63.28125,71.0,0.6875,7.71875,0.6875
Video.mov,left_cheek,56.25,60.0,3.28125,3.75,17.34375
20241206_104904.mp4,right_cheek,119.53125,62.0,57.53125,57.53125,57.53125
